code_module,code_presentation,id_student,gender,region,highest_education,num_of_prev_attempts,studied_credits,disability,final_result,imd_band_numeric,age_0-35,age_35-55,age_55<=,weighted_grade,pass_rate,exam_taken,exam_score_filled,date,sum_click,withdrawn
AAA,2013J,147793,F,North Region,Lower Than A Level,0,90,N,Withdrawn,85.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,0,60,Y,Withdrawn,35.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,151358,F,London Region,A Level or Equivalent,0,150,N,Pass,85.0,True,False,False,1.08,1.0,0.0,0.0,148.2783531409168,3.4475099037917376,0
AAA,2013J,155550,M,London Region,A Level or Equivalent,0,420,N,Pass,5.0,False,True,False,5.25,1.0,0.0,0.0,123.1598054183915,3.3840182532049914,0
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,0,60,N,Pass,25.0,False,True,False,6.56,1.0,0.0,0.0,125.32942530842081,4.158731916879358,0
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,0,60,N,Withdrawn,75.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,157568,F,South West Region,A Level or Equivalent,0,60,N,Pass,95.0,True,False,False,7.11,1.0,0.0,0.0,116.43361053728128,4.034390063032999,0
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,0,60,N,Withdrawn,45.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,164259,M,Scotland,A Level or Equivalent,0,60,N,Pass,75.0,True,False,False,18.04,1.0,0.0,0.0,120.82319020890341,2.371817156473201,0
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,0,60,N,Pass,45.0,False,True,False,13.2,1.0,0.0,0.0,123.8402329316792,3.1434433150678176,0
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,0,60,N,Pass,15.0,False,True,False,76.0,1.0,0.0,0.0,117.08632133742186,2.499270310678968,0
AAA,2013J,172112,M,Ireland,HE Qualification,0,60,N,Pass,47.115494568324756,False,True,False,60.0,1.0,0.0,0.0,146.4844874542861,3.09381365731199,0
AAA,2013J,172797,F,Ireland,A Level or Equivalent,0,60,N,Pass,47.115494568324756,False,True,False,1.2,1.0,0.0,0.0,127.91416562021351,3.610735953057431,0
AAA,2013J,174782,M,East Anglian Region,HE Qualification,0,60,N,Pass,95.0,False,False,True,5.81,1.0,0.0,0.0,109.76892625477178,4.13237337239639,0
AAA,2013J,175392,M,North Region,HE Qualification,0,60,N,Pass,47.115494568324756,False,True,False,6.8,1.0,0.0,0.0,75.42882072148268,3.9397465147628767,0
AAA,2013J,175932,M,North Western Region,HE Qualification,0,60,N,Pass,75.0,False,True,False,6.08,1.0,0.0,0.0,90.94098383098384,4.440214600214601,0
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,0,180,N,Fail,85.0,True,False,False,4.59,0.4,0.0,0.0,82.13648596693578,3.1654171472510573,0
AAA,2013J,180753,M,South West Region,A Level or Equivalent,0,120,N,Pass,35.0,True,False,False,13.42,1.0,0.0,0.0,114.26995607591562,2.7833264461967397,0
AAA,2013J,181316,F,South West Region,A Level or Equivalent,0,120,N,Withdrawn,85.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,183096,F,South West Region,A Level or Equivalent,0,60,N,Pass,65.0,True,False,False,12.54,1.0,0.0,0.0,101.96541795001342,3.7286803976525023,0
AAA,2013J,183947,M,London Region,A Level or Equivalent,0,180,N,Pass,15.0,True,False,False,67.0,0.8,0.0,0.0,131.04809536055302,2.848661709943852,0
AAA,2013J,184271,M,South West Region,HE Qualification,0,170,N,Pass,85.0,False,True,False,65.0,1.0,0.0,0.0,89.06264247865649,2.8022677895686745,0
AAA,2013J,185439,M,London Region,HE Qualification,0,120,N,Fail,15.0,True,False,False,1.48,0.2,0.0,0.0,16.07662037037037,4.097685185185185,0
AAA,2013J,186149,M,Scotland,HE Qualification,0,60,N,Pass,35.0,False,True,False,2.55,1.0,0.0,0.0,62.74205991865162,3.6793324814570587,0
AAA,2013J,187100,M,South East Region,A Level or Equivalent,0,60,N,Distinction,55.0,False,True,False,2.64,1.0,0.0,0.0,100.85499808784832,4.309890099499294,0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,0,120,N,Withdrawn,75.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,189879,M,Scotland,A Level or Equivalent,0,120,N,Pass,95.0,True,False,False,3.04,1.0,0.0,0.0,125.47265237689278,3.7585285321858213,0
AAA,2013J,192183,F,South West Region,Lower Than A Level,0,60,N,Pass,95.0,True,False,False,2.25,1.0,0.0,0.0,101.87556792792411,4.721158328785318,0
AAA,2013J,195262,M,London Region,A Level or Equivalent,0,60,N,Withdrawn,95.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,200860,M,London Region,Lower Than A Level,0,60,N,Pass,55.0,False,True,False,4.14,0.8,0.0,0.0,62.28411840877286,1.9026072733157628,0
AAA,2013J,202635,F,Wales,A Level or Equivalent,0,60,N,Withdrawn,35.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,205350,M,South West Region,HE Qualification,0,60,N,Pass,85.0,False,True,False,7.5,1.0,0.0,0.0,73.70365734411787,3.106801111555332,0
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,0,90,Y,Fail,45.0,True,False,False,8.375,0.6,0.0,0.0,58.99893707482993,3.1852465986394556,0
AAA,2013J,227499,F,London Region,A Level or Equivalent,0,60,N,Distinction,15.0,False,True,False,12.6,1.0,0.0,0.0,81.10391660843212,4.1281672450684965,0
AAA,2013J,227517,M,Ireland,HE Qualification,0,180,N,Fail,47.115494568324756,True,False,False,9.45,1.0,0.0,0.0,83.35087026704565,4.127378684526805,0
AAA,2013J,228082,M,London Region,HE Qualification,0,60,N,Pass,65.0,True,False,False,8.7,1.0,0.0,0.0,128.28092704773738,1.5731411368264816,0
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,0,60,N,Pass,55.0,True,False,False,71.0,1.0,0.0,0.0,94.72496876093368,2.662773029439696,0
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,0,60,N,Pass,25.0,True,False,False,6.4,1.0,0.0,0.0,77.69748148148149,4.349259259259259,0
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,0,60,N,Pass,55.0,True,False,False,10.125,1.0,0.0,0.0,116.53545756088377,4.096859189331772,0
AAA,2013J,231554,M,London Region,A Level or Equivalent,0,240,N,Pass,45.0,True,False,False,14.0,0.8,0.0,0.0,102.71937061337472,4.149791660561089,0
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,0,240,N,Withdrawn,95.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,0,60,N,Pass,95.0,True,False,False,17.0,1.0,0.0,0.0,154.27316202090591,4.510504258614015,0
AAA,2013J,238007,M,South Region,HE Qualification,0,60,N,Pass,95.0,False,False,True,16.6,1.0,0.0,0.0,104.36651532540681,2.839363844052804,0
AAA,2013J,240712,M,London Region,HE Qualification,0,80,N,Pass,85.0,True,False,False,82.0,1.0,0.0,0.0,88.85457135457135,2.7864727864727863,0
AAA,2013J,240884,M,South Region,A Level or Equivalent,0,120,N,Pass,95.0,True,False,False,7.4,1.0,0.0,0.0,103.60030525030525,2.335105056980057,0
AAA,2013J,241649,M,East Anglian Region,HE Qualification,0,60,N,Pass,95.0,False,True,False,10.625,1.0,0.0,0.0,88.27520175308872,3.857660092849289,0
AAA,2013J,241729,F,East Midlands Region,HE Qualification,0,60,N,Fail,65.0,False,True,False,8.925,1.0,0.0,0.0,129.83159865269346,2.492559030939815,0
AAA,2013J,242793,M,London Region,HE Qualification,0,60,N,Pass,25.0,False,True,False,13.2,1.0,0.0,0.0,79.93966318234611,2.2976117886178864,0
AAA,2013J,246834,M,South West Region,A Level or Equivalent,0,60,N,Pass,95.0,False,True,False,12.0,1.0,0.0,0.0,115.51525855786005,4.094879162628416,0
AAA,2013J,248270,M,North Western Region,Lower Than A Level,0,90,N,Pass,25.0,True,False,False,15.4,1.0,0.0,0.0,85.98222289486124,3.0653622368076925,0
AAA,2013J,255548,M,Wales,Lower Than A Level,0,60,N,Pass,25.0,False,True,False,84.0,1.0,0.0,0.0,99.2207469562457,3.5006055227789483,0
AAA,2013J,256815,M,North Western Region,HE Qualification,0,120,N,Pass,15.0,True,False,False,3.55,1.0,0.0,0.0,143.22476694758782,2.694406385359323,0
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,0,60,N,Pass,35.0,True,False,False,5.8,1.0,0.0,0.0,111.1226091494799,3.3388438973472985,0
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,0,60,N,Pass,75.0,False,True,False,5.8,1.0,0.0,0.0,116.46414432928485,4.97685105194687,0
AAA,2013J,260355,F,London Region,A Level or Equivalent,0,60,N,Withdrawn,85.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,0,60,N,Pass,25.0,False,True,False,15.0,1.0,0.0,0.0,87.82306554323361,3.7576815709721507,0
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,0,60,N,Pass,35.0,False,True,False,20.25,1.0,0.0,0.0,90.35726437843016,3.4455433847306716,0
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,0,90,N,Fail,15.0,False,True,False,64.0,1.0,0.0,0.0,114.58632821747415,4.8342569206758395,0
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,0,180,N,Withdrawn,35.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,271251,M,Scotland,A Level or Equivalent,0,60,N,Pass,85.0,False,True,False,22.4,1.0,0.0,0.0,93.63425510549574,5.385728570083959,0
AAA,2013J,277880,F,South East Region,A Level or Equivalent,0,60,N,Withdrawn,65.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,279572,M,London Region,Lower Than A Level,0,60,N,Distinction,45.0,True,False,False,22.12,1.0,0.0,0.0,86.55408869395711,4.77707671957672,0
AAA,2013J,281022,F,Scotland,A Level or Equivalent,0,150,N,Pass,35.0,True,False,False,70.0,1.0,0.0,0.0,123.546990113905,3.07127086467512,0
AAA,2013J,281250,M,Wales,Lower Than A Level,0,60,N,Fail,75.0,False,True,False,10.08,1.0,0.0,0.0,66.87242063492063,1.6229166666666668,0
AAA,2013J,281589,M,North Western Region,HE Qualification,0,60,N,Fail,35.0,True,False,False,7.983246575342466,0.8717808219178081,0.0,0.0,44.70138888888889,1.9027777777777777,0
AAA,2013J,282821,M,South West Region,A Level or Equivalent,0,60,N,Pass,35.0,False,True,False,17.08,1.0,0.0,0.0,99.4578560031301,4.118457506926316,0
AAA,2013J,286488,M,South East Region,A Level or Equivalent,0,60,N,Pass,95.0,False,True,False,15.4,1.0,0.0,0.0,107.31953554864172,4.499197346815315,0
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,0,120,N,Pass,95.0,True,False,False,19.32,1.0,0.0,0.0,78.11759668138632,4.480797537802756,0
AAA,2013J,290201,M,Wales,A Level or Equivalent,0,60,N,Pass,25.0,True,False,False,78.0,1.0,0.0,0.0,106.82705496664335,4.46957626939951,0
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,0,60,N,Pass,35.0,True,False,False,12.0,1.0,0.0,0.0,126.54192739537568,3.58821728132073,0
AAA,2013J,291334,M,South East Region,A Level or Equivalent,0,60,N,Distinction,95.0,False,True,False,23.8,1.0,0.0,0.0,90.67793771527069,3.679757218649846,0
AAA,2013J,292923,F,South East Region,A Level or Equivalent,0,180,N,Withdrawn,95.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,0,120,N,Pass,75.0,True,False,False,0.0,0.6,0.0,0.0,157.71968253968254,1.5287830687830688,0
AAA,2013J,294570,M,South East Region,HE Qualification,0,60,N,Pass,95.0,False,False,True,20.16,1.0,0.0,0.0,99.00782995551162,4.324207260444284,0
AAA,2013J,294594,M,South East Region,A Level or Equivalent,0,60,N,Pass,95.0,True,False,False,17.08,1.0,0.0,0.0,98.15316007916815,4.438905751506558,0
AAA,2013J,295741,M,South East Region,A Level or Equivalent,0,240,N,Fail,45.0,False,True,False,38.0,0.8,0.0,0.0,80.2481768772025,3.0330542708398496,0
AAA,2013J,296332,M,South Region,Post Graduate Qualification,0,60,N,Distinction,95.0,False,False,True,0.0,1.0,0.0,0.0,77.83566722498881,4.314140847083048,0
AAA,2013J,298696,F,South East Region,HE Qualification,0,60,N,Pass,85.0,True,False,False,0.0,1.0,0.0,0.0,96.91926050699561,2.8342591838673346,0
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,0,60,N,Pass,35.0,False,True,False,0.0,1.0,0.0,0.0,93.41326005890662,3.5829131149820808,0
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,0,60,N,Fail,45.0,True,False,False,0.0,0.6,0.0,0.0,65.15598277958527,2.898734759604325,0
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,0,60,N,Fail,75.0,True,False,False,0.0,0.2,0.0,0.0,66.58556149732621,2.9197860962566846,0
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,0,120,Y,Pass,75.0,True,False,False,0.0,1.0,0.0,0.0,84.72490465638614,3.3213305898491083,0
AAA,2013J,305539,F,Wales,Lower Than A Level,0,120,N,Withdrawn,85.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,0,120,N,Pass,55.0,False,True,False,0.0,1.0,0.0,0.0,97.87563356618368,4.680123932288965,0
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,0,60,N,Pass,95.0,False,True,False,10.125,1.0,0.0,0.0,115.03901236752694,3.5652512082119476,0
AAA,2013J,306897,F,London Region,A Level or Equivalent,0,60,N,Pass,15.0,True,False,False,9.0,0.8,0.0,0.0,66.43217331988733,1.7595229229249594,0
AAA,2013J,307061,F,East Midlands Region,HE Qualification,0,60,N,Pass,15.0,True,False,False,20.5,1.0,0.0,0.0,101.57127805352536,3.3554295152885243,0
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,0,60,N,Pass,75.0,True,False,False,11.75,0.8,0.0,0.0,91.29685652229769,4.055705376076893,0
AAA,2013J,311917,M,South West Region,A Level or Equivalent,0,120,N,Pass,65.0,False,False,True,13.75,1.0,0.0,0.0,104.17229681272924,3.5680838765835263,0
AAA,2013J,312537,M,South Region,Post Graduate Qualification,0,60,N,Distinction,95.0,False,False,True,88.0,1.0,0.0,0.0,80.86303100265124,5.675600509627935,0
AAA,2013J,312782,M,South Region,A Level or Equivalent,0,60,N,Pass,95.0,True,False,False,0.0,1.0,0.0,0.0,68.94332643202209,2.3549240855762594,0
AAA,2013J,318933,F,East Anglian Region,HE Qualification,0,120,N,Pass,85.0,True,False,False,0.0,1.0,0.0,0.0,96.10829333616641,2.183471788360296,0
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,0,60,N,Pass,55.0,True,False,False,0.0,1.0,0.0,0.0,121.06990344589431,3.3591116328432187,0
AAA,2013J,321942,M,South Region,HE Qualification,0,60,N,Pass,95.0,False,False,True,0.0,1.0,0.0,0.0,85.40618433072395,4.454984743756492,0
AAA,2013J,324002,M,East Anglian Region,HE Qualification,0,60,N,Pass,45.0,False,True,False,0.0,1.0,0.0,0.0,105.88546083553896,3.7911832544645043,0
AAA,2013J,324084,F,South West Region,A Level or Equivalent,0,60,N,Pass,15.0,False,True,False,0.0,0.8,0.0,0.0,104.46148725254073,5.020696931126336,0
AAA,2013J,324282,M,South East Region,A Level or Equivalent,0,120,N,Pass,95.0,True,False,False,0.0,0.8,0.0,0.0,69.11453192322757,1.8962397179788482,0
AAA,2013J,331358,F,South Region,HE Qualification,0,60,N,Withdrawn,95.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,0,60,N,Pass,65.0,False,True,False,8.625,1.0,0.0,0.0,102.999825153855,3.8683491425349232,0
AAA,2013J,333059,M,Scotland,A Level or Equivalent,0,120,N,Pass,25.0,True,False,False,18.0,1.0,0.0,0.0,152.72484146677695,2.1384851707432353,0
AAA,2013J,333323,M,Scotland,HE Qualification,0,60,N,Pass,85.0,True,False,False,19.25,1.0,0.0,0.0,125.28865896936072,3.778282601089619,0
AAA,2013J,334259,F,London Region,A Level or Equivalent,0,150,N,Fail,55.0,True,False,False,14.25,0.4,0.0,0.0,49.05015873015873,2.7343298059964725,0
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0,240,Y,Withdrawn,5.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,335764,F,South East Region,A Level or Equivalent,0,60,N,Withdrawn,25.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,0,120,N,Pass,95.0,True,False,False,0.0,1.0,0.0,0.0,92.20376224713749,4.220644259208089,0
AAA,2013J,339972,M,North Region,A Level or Equivalent,0,60,N,Pass,85.0,True,False,False,0.0,0.8,0.0,0.0,82.79261363636364,3.3810876623376624,0
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,0,180,N,Fail,45.0,True,False,False,0.0,1.0,0.0,0.0,148.81607142857143,1.3973214285714286,0
AAA,2013J,342007,F,West Midlands Region,HE Qualification,0,60,N,Withdrawn,75.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,342514,M,Scotland,Lower Than A Level,0,60,N,Pass,55.0,False,False,True,0.0,1.0,0.0,0.0,85.51747479033193,5.103187697116269,0
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0,60,N,Pass,5.0,True,False,False,0.0,1.0,0.0,0.0,78.41604850233314,2.611882104215135,0
AAA,2013J,343446,M,Ireland,HE Qualification,0,120,N,Pass,75.0,False,True,False,9.25,1.0,0.0,0.0,88.71025547116103,3.7005040704111134,0
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,0,60,N,Fail,15.0,True,False,False,7.625,1.0,0.0,0.0,91.6498724489796,1.1792091836734695,0
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,0,180,Y,Pass,65.0,True,False,False,17.5,1.0,0.0,0.0,111.97391784406071,3.6845484039769754,0
