code_module;code_presentation;id_student;gender;region;highest_education;num_of_prev_attempts;studied_credits;disability;imd_band_numeric;age_0-35;age_35-55;age_55<=;weighted_grade;pass_rate;exam_taken;exam_score_filled;date;sum_click;withdrawn
BBB;2014B;621937;F;London Region;A Level or Equivalent;0;60;N;15.0;False;True;False;0.0;0.09090909090909091;0.0;0.0;9.225;янв.15;0
FFF;2014J;623765;F;North Western Region;A Level or Equivalent;0;60;N;55.0;True;False;False;0.0;1.0;0.0;0.0;110.99212899898151;2.8821154662816033;0
BBB;2014B;2002415;F;London Region;A Level or Equivalent;0;120;N;75.0;False;True;False;0.0;0.9090909090909091;0.0;0.0;129.1026722682146;2.2496965022611;0
BBB;2013J;588642;F;London Region;A Level or Equivalent;0;120;N;5.0;True;False;False;0.0;1.0;0.0;0.0;69.81449735449736;2.3792460317460313;0
FFF;2014B;599398;M;South Region;Lower Than A Level;0;120;N;95.0;True;False;False;0.0;1.0;0.0;0.0;99.99847418671726;2.862383111198105;0
DDD;2013B;307291;F;Ireland;A Level or Equivalent;0;60;N;95.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
CCC;2014J;586261;M;London Region;Lower Than A Level;0;60;N;75.0;False;True;False;0.0;0.625;1.0;54.0;133.21516267761075;2.703541666191302;0
BBB;2014J;586502;F;West Midlands Region;Lower Than A Level;0;60;N;5.0;False;True;False;0.0;0.8;0.0;0.0;86.8484757715752;2.6427356377648774;0
DDD;2013B;556030;M;East Midlands Region;HE Qualification;0;60;N;35.0;True;False;False;0.0;0.3076923076923077;0.0;0.0;17.6396606538116;1.370794457115212;0
FFF;2013J;533523;M;East Midlands Region;A Level or Equivalent;0;90;N;65.0;True;False;False;0.0;0.9166666666666666;0.0;0.0;93.33640483911358;3.615035936698258;0
FFF;2014J;678628;M;London Region;A Level or Equivalent;0;120;N;15.0;True;False;False;0.0;1.0;0.0;0.0;115.69474914586264;3.614092238912641;0
BBB;2013J;607804;M;Scotland;A Level or Equivalent;0;60;N;95.0;False;True;False;0.0;1.0;0.0;0.0;79.15858792740512;2.1356389031120213;0
FFF;2013B;555144;M;South West Region;Lower Than A Level;0;120;N;55.0;False;True;False;0.0;1.0;0.0;0.0;75.13378997140602;3.7146526454684072;0
BBB;2014J;433939;F;Yorkshire Region;Lower Than A Level;1;60;N;55.0;False;True;False;0.0;0.4;0.0;0.0;53.41858363858364;1.7892521367521368;0
FFF;2013B;290252;M;Yorkshire Region;HE Qualification;0;60;N;55.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013J;582243;F;South West Region;Lower Than A Level;0;60;N;75.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
CCC;2014J;165733;M;Scotland;A Level or Equivalent;1;30;Y;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
GGG;2013J;593858;F;London Region;Lower Than A Level;0;30;N;75.0;False;True;False;0.0;0.8888888888888888;0.0;0.0;138.71160178474008;3.3725547502143245;0
FFF;2013J;598294;M;London Region;HE Qualification;0;60;N;15.0;True;False;False;0.0;1.0;0.0;0.0;61.64117385308035;4.3452189681123885;0
EEE;2014B;623780;M;Scotland;Lower Than A Level;0;60;N;75.0;True;False;False;0.0;1.0;0.0;0.0;84.0134991859992;3.571082576843446;0
FFF;2013J;601074;M;East Anglian Region;A Level or Equivalent;0;90;N;85.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;360190;F;South West Region;Lower Than A Level;1;180;N;55.0;True;False;False;0.0;0.45454545454545453;0.0;0.0;69.4675925925926;1.7361111111111112;0
DDD;2014B;2527077;F;Scotland;HE Qualification;0;60;N;65.0;False;True;False;0.0;0.16666666666666666;0.0;0.0;9.210696693657221;2.272153549172706;0
FFF;2013B;383558;M;East Anglian Region;A Level or Equivalent;0;60;N;85.0;False;True;False;0.0;0.3333333333333333;0.0;0.0;53.13331304617713;2.7092233817961975;0
DDD;2014J;1811098;M;West Midlands Region;A Level or Equivalent;0;120;N;65.0;False;False;True;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013J;606355;F;Yorkshire Region;A Level or Equivalent;0;120;N;55.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;394067;F;West Midlands Region;Lower Than A Level;0;90;N;75.0;True;False;False;0.0;1.0;0.0;0.0;107.04434523809523;1.7223958333333333;0
DDD;2013B;556165;M;Wales;Lower Than A Level;0;60;N;45.0;True;False;False;0.0;0.9230769230769231;1.0;33.0;65.10802572830296;1.7639949395558499;0
BBB;2013J;2271743;F;Wales;A Level or Equivalent;1;180;Y;5.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;625713;F;South East Region;Lower Than A Level;0;120;N;25.0;False;True;False;0.0;0.8181818181818182;0.0;0.0;119.5354377104377;1.7831649831649832;0
AAA;2014J;527100;M;West Midlands Region;HE Qualification;0;120;N;75.0;True;False;False;0.0;1.0;0.0;0.0;111.86951272933416;2.9363432367896656;0
DDD;2014J;2423655;F;Scotland;A Level or Equivalent;1;60;Y;15.0;True;False;False;0.0;0.6666666666666666;0.0;0.0;76.33256102212053;2.510453216374269;0
FFF;2013J;599776;M;South Region;Lower Than A Level;0;90;N;75.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
CCC;2014J;627290;M;South East Region;Lower Than A Level;0;30;N;85.0;True;False;False;0.0;0.5929054054054054;0.5845845845845846;39.888888888888886;84.7875;1.4083333333333332;0
DDD;2014B;631131;M;East Midlands Region;A Level or Equivalent;0;120;N;85.0;True;False;False;0.0;1.0;1.0;71.0;121.98235912241377;2.003570070564081;0
GGG;2014B;350473;F;West Midlands Region;A Level or Equivalent;0;30;Y;15.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0
FFF;2014J;647525;M;South West Region;Lower Than A Level;0;60;N;95.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
DDD;2014J;685964;M;North Region;Lower Than A Level;0;120;N;47.115494568324756;True;False;False;0.0;1.0;1.0;91.0;83.12151439006976;1.2938929785684674;0
BBB;2014J;554599;F;Wales;A Level or Equivalent;1;60;Y;5.0;True;False;False;0.0;1.0;0.0;0.0;87.25946067821067;1.8106511544011543;0
CCC;2014J;609891;M;West Midlands Region;A Level or Equivalent;0;60;N;55.0;True;False;False;0.0;0.625;1.0;30.0;127.58727668180622;3.4361677749327835;0
BBB;2014J;305909;F;South Region;A Level or Equivalent;0;60;N;65.0;False;True;False;0.0;1.0;0.0;0.0;89.81183225401318;2.9538485339677485;0
EEE;2014B;485920;M;East Anglian Region;Lower Than A Level;0;30;N;65.0;True;False;False;0.0;1.0;0.0;0.0;104.0072480531787;4.7603500772463745;0
FFF;2013J;88781;M;South East Region;A Level or Equivalent;1;60;N;65.0;True;False;False;0.0;0.3333333333333333;0.0;0.0;78.92568116489086;3.0457339090815356;0
BBB;2014B;630999;F;South West Region;A Level or Equivalent;0;120;N;95.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
CCC;2014J;694807;M;South Region;HE Qualification;0;60;N;95.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2014J;649523;M;North Western Region;Lower Than A Level;0;120;N;5.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2014J;686558;M;East Midlands Region;A Level or Equivalent;0;120;N;55.0;True;False;False;0.0;1.0;0.0;0.0;124.94809178369232;2.7776536131919505;0
BBB;2014J;645052;F;West Midlands Region;Lower Than A Level;0;120;N;45.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
EEE;2013J;559645;M;North Region;HE Qualification;0;60;N;55.0;True;False;False;0.0;0.8558041112454655;0.0;0.0;2.2002136752136754;3.5164440883190884;0
BBB;2014J;646636;F;London Region;Lower Than A Level;0;60;N;15.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2014B;1892879;M;London Region;Lower Than A Level;0;120;N;35.0;False;True;False;0.0;0.6897457158651188;0.0;0.0;-8.0;2.0;0
DDD;2014J;253579;M;North Region;A Level or Equivalent;1;120;N;15.0;True;False;False;0.0;0.16666666666666666;0.0;0.0;13.115638528138529;1.3056547619047618;0
EEE;2014J;677711;M;Scotland;A Level or Equivalent;0;30;Y;45.0;True;False;False;0.0;0.8505347593582888;0.0;0.0;18.064978354978358;8.775454545454545;0
DDD;2013J;2569051;F;South Region;HE Qualification;0;60;N;55.0;False;True;False;0.0;0.8333333333333334;1.0;24.0;89.79629966327401;2.149235552935228;0
DDD;2014J;634305;F;Wales;Lower Than A Level;0;120;N;25.0;False;True;False;0.0;1.0;1.0;51.0;85.59212779228832;1.3895611522720734;0
BBB;2013B;311042;F;East Anglian Region;Lower Than A Level;3;180;N;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013J;579256;F;London Region;A Level or Equivalent;0;60;N;15.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2013J;580771;M;South West Region;Lower Than A Level;0;120;N;75.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
CCC;2014B;629887;M;North Western Region;HE Qualification;0;60;N;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
DDD;2014B;613370;M;South East Region;A Level or Equivalent;0;60;N;85.0;True;False;False;0.0;0.8333333333333334;1.0;82.0;100.89400471226178;1.631918770617074;0
EEE;2014J;603108;M;East Anglian Region;A Level or Equivalent;0;120;N;85.0;True;False;False;0.0;1.0;0.0;0.0;87.55821065852302;4.285261579763868;0
BBB;2014J;602865;F;London Region;A Level or Equivalent;0;60;N;15.0;True;False;False;0.0;0.8;0.0;0.0;97.91156026080002;2.6274347753844194;0
DDD;2014J;356561;F;Scotland;A Level or Equivalent;0;90;N;85.0;True;False;False;0.0;0.8333333333333334;1.0;36.0;113.33176741022393;2.287349794973501;0
BBB;2013J;443108;F;East Midlands Region;A Level or Equivalent;1;60;N;25.0;True;False;False;0.0;0.5454545454545454;0.0;0.0;80.53880620446105;1.9133741384040397;0
EEE;2014J;650849;F;Scotland;HE Qualification;0;60;N;75.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2013J;586925;M;West Midlands Region;Lower Than A Level;0;60;Y;15.0;True;False;False;0.0;0.3333333333333333;0.0;0.0;21.15097402597403;3.0334776334776334;0
EEE;2013J;141301;M;West Midlands Region;Lower Than A Level;0;150;N;15.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;633650;F;South West Region;A Level or Equivalent;0;60;Y;85.0;True;False;False;0.0;0.9090909090909091;0.0;0.0;123.20191022427865;1.7416939785360837;0
DDD;2013J;180651;M;Yorkshire Region;Lower Than A Level;0;60;N;75.0;True;False;False;0.0;1.0;1.0;76.0;110.27831513679;1.5030173233256598;0
BBB;2013B;541985;F;South Region;A Level or Equivalent;0;60;N;65.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
CCC;2014B;529434;M;East Anglian Region;Lower Than A Level;0;30;N;85.0;True;False;False;0.0;0.75;1.0;48.0;76.87703595539274;2.1239332043040484;0
FFF;2014B;594909;M;North Western Region;A Level or Equivalent;0;60;N;45.0;True;False;False;0.0;0.8333333333333334;0.0;0.0;126.61609952826159;3.9871484478959047;0
DDD;2014J;475908;F;West Midlands Region;Lower Than A Level;0;60;N;45.0;True;False;False;0.0;1.0;1.0;27.0;110.73928742127757;1.5530271376172187;0
FFF;2014J;677111;F;West Midlands Region;Lower Than A Level;0;120;N;25.0;True;False;False;0.0;1.0;0.0;0.0;94.73885056848827;2.9954595393620487;0
EEE;2013J;600335;M;Yorkshire Region;A Level or Equivalent;0;60;N;25.0;True;False;False;0.0;1.0;0.0;0.0;98.45146108371914;3.590424834495043;0
FFF;2014J;688225;M;Scotland;Lower Than A Level;0;60;N;45.0;True;False;False;0.0;0.3333333333333333;0.0;0.0;40.81188952134364;4.672557742890022;0
BBB;2014B;97006;F;East Anglian Region;A Level or Equivalent;1;60;N;65.0;False;True;False;0.0;0.8181818181818182;0.0;0.0;98.6615515771526;2.370843989769821;0
GGG;2014B;2577437;F;East Midlands Region;Lower Than A Level;0;30;N;45.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
EEE;2013J;593924;M;London Region;A Level or Equivalent;0;60;N;95.0;True;False;False;0.0;1.0;0.0;0.0;95.35886373524427;4.219049690761822;0
CCC;2014B;487494;M;South Region;No Formal quals;0;60;N;55.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
CCC;2014B;589108;M;South East Region;Lower Than A Level;0;90;Y;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
DDD;2014B;46753;F;East Anglian Region;A Level or Equivalent;0;60;N;65.0;False;True;False;0.0;0.6666666666666666;1.0;36.0;69.45311423011465;2.392596004651468;0
FFF;2014J;489493;F;North Western Region;A Level or Equivalent;0;60;N;5.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2014J;2550534;M;South East Region;A Level or Equivalent;0;60;N;65.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2013J;2411773;M;Wales;A Level or Equivalent;0;60;N;55.0;True;False;False;0.0;1.0;0.0;0.0;94.45598066082181;5.183345824106171;0
FFF;2013J;578492;M;East Anglian Region;Lower Than A Level;0;90;N;35.0;True;False;False;0.0;0.75;0.0;0.0;89.54474579839643;3.6983632646795086;0
GGG;2013J;581485;F;North Western Region;A Level or Equivalent;0;30;N;15.0;False;True;False;0.0;0.8888888888888888;0.0;0.0;140.36803890563488;2.565970334865181;0
FFF;2014J;648037;M;South Region;A Level or Equivalent;0;60;N;45.0;True;False;False;0.0;1.0;0.0;0.0;114.6771388340173;5.849191839099582;0
BBB;2014B;596602;F;Scotland;A Level or Equivalent;0;60;N;75.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014J;82611;F;Wales;Lower Than A Level;0;60;N;15.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2013B;254325;M;East Anglian Region;HE Qualification;0;60;N;85.0;False;True;False;0.0;1.0;0.0;0.0;95.63240168655487;3.194020930981678;0
CCC;2014J;589523;M;East Anglian Region;Lower Than A Level;0;60;Y;85.0;True;False;False;0.0;0.5;1.0;34.0;154.3107911568401;2.970855709539894;0
DDD;2014J;614930;M;London Region;A Level or Equivalent;1;60;N;15.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013J;521341;F;South Region;HE Qualification;0;120;Y;95.0;False;True;False;0.0;1.0;0.0;0.0;117.07573750075942;1.7382473261821663;0
